
200,105,61,0
200,105,62,0
203,105,57,0
209,111,65,0
224,126,80,0
221,125,79,0
222,123,79,0
223,124,80,0
230,170,140,0
252,176,147,0
228,159,126,0
254,174,143,0
249,171,142,0
227,146,113,0
242,168,140,0
229,150,117,0
247,180,155,0
246,182,158,0
245,173,149,0
249,182,157,0
255,196,170,0
255,200,174,0
253,192,166,0
254,197,171,0
239,175,150,0
243,192,166,0
244,177,150,0
238,182,157,0
208,118,77,0
230,145,107,0
204,112,69,0
211,121,80,0
216,114,71,0
219,117,75,0
216,114,71,0
220,118,76,0
212,107,58,0
214,109,60,0
208,106,54,0
213,108,57,0
218,112,65,0
217,112,68,0
220,112,64,0
220,112,65,0
218,113,70,0
223,121,78,0
218,114,71,0
218,116,73,0
221,117,70,0
215,113,64,0
220,116,69,0
215,113,65,0
199,98,59,0
196,95,56,0
202,102,60,0
197,99,57,0
199,98,59,0
197,103,67,0
198,98,56,0
194,100,64,0
201,105,65,0
194,103,64,0
201,105,65,0
192,101,62,0
180,102,65,0
163,101,71,0
183,103,66,0
162,98,68,0
180,92,45,0
181,91,44,0
179,91,45,0
192,102,55,0
174,89,43,0
183,91,44,0
172,87,41,0
181,91,44,0
202,104,58,0
205,103,60,0
199,101,53,0
202,100,57,0
221,119,76,0
222,120,77,0
221,119,76,0
222,120,77,0
203,105,59,0
204,105,61,0
205,105,57,0
205,104,59,0
215,109,56,0
212,107,56,0
214,105,54,0
217,108,57,0
216,114,71,0
219,117,74,0
216,114,71,0
219,117,75,0
243,192,166,0
255,227,200,0
238,182,157,0
255,218,193,0
209,134,96,0
209,120,76,0
212,137,99,0
211,122,78,0
211,118,73,0
230,144,108,0
206,115,70,0
222,138,102,0
205,107,59,0
208,109,59,0
204,109,60,0
208,109,59,0
220,119,80,0
209,113,77,0
213,112,74,0
219,122,88,0
250,171,138,0
226,139,99,0
255,177,144,0
229,142,102,0
41,29,29,1
41,29,29,1
40,28,28,1
40,28,28,1
52,48,53,1
61,56,58,1
49,44,46,1
57,50,53,1
67,59,60,1
60,52,53,1
64,58,59,1
69,63,64,1
62,58,53,1
93,90,86,1
43,39,34,1
52,47,44,1
48,45,47,1
34,33,35,1
39,38,40,1
33,32,36,1
61,59,58,1
62,60,59,1
75,73,72,1
64,62,61,1
158,154,153,1
158,153,154,1
163,159,158,1
159,154,155,1
46,42,47,1
57,53,58,1
45,41,46,1
51,47,52,1
183,173,173,1
170,165,164,1
187,177,177,1
172,167,166,1
186,182,181,1
168,166,165,1
189,185,184,1
176,174,173,1
62,63,61,1
54,54,54,1
64,65,63,1
56,56,56,1
61,51,51,1
132,122,122,1
60,50,50,1
129,119,119,1
63,61,60,1
56,54,54,1
68,69,67,1
58,58,58,1
211,209,209,1
130,130,130,1
205,203,203,1
132,132,132,1
60,51,54,1
74,65,68,1
60,51,54,1
65,56,59,1
64,53,55,1
68,58,58,1
67,58,61,1
68,60,61,1
58,53,55,1
56,53,55,1
46,42,47,1
49,45,50,1
48,34,36,1
48,34,35,1
48,34,36,1
52,38,39,1
58,49,46,1
66,57,54,1
61,52,49,1
64,55,52,1
78,72,73,1
78,72,73,1
